JoeBiden,b'Its not enough to praise our essential workers  we have to protect and pay them.'
JoeBiden,"b'The workers on the frontlines of this pandemic are making extraordinary sacrifices every single day. They deserve leaders who will listen and work as hard for them as they are for their communities. As president, thats exactly what Ill do. '"
JoeBiden,b'The health care workers on the frontlines of this pandemic are true heroes. Tune in as we thank them for their work and discuss how a Biden-Harris administration will support them. '
JoeBiden,"b""Today, KamalaHarris and I met with some of our country's most experienced national security experts to discuss the challenges facing our nation, our institutions, and the world. We're ready to tackle the challenges our administration will inherit on day one. """
JoeBiden,b'Im keeping in my prayers all of our friends and neighbors in Hurricane Iotas path and those impacted by Hurricane Eta across Central America. The increasing frequency of these powerful storms is another reason that fighting climate change will be one of my top priorities.'
JoeBiden,"b""Americans want us to cooperate. They want us to deliver results. Thats the choice Kamala and I will make. That's why I am pleased that today we were able to bring together business and labor leaders to make that choice with us.\n\nWere all Americans. Lets get to work together."""
JoeBiden,"b'When we build back better, we will do so with higher wages  including a $15 minimum wage  better benefits and stronger collective bargaining rights that you can raise a family on.\n\nThats how we will build back the middle class better than ever.'"
JoeBiden,"b'Right now, Congress should come together and pass a COVID relief package like the HEROES Act that the House passed six months ago. Once we shut down the virus and deliver economic relief to workers and businesses, then we can build back better than ever before.'"
JoeBiden,b'Tune in as I deliver remarks on our economic recovery and how my administration plans to build back better in the long term. '
JoeBiden,"b'Once again, I congratulate the brilliant women and men who produced this breakthrough and have brought us one step closer to beating this virus. I am also thankful for the frontline workers who are still confronting the virus around the clock.'"
JoeBiden,"b""Today's news of a second vaccine is further reason to feel hopeful. What was true with the first vaccine remains true with the second: we are still months away. Until then, Americans need to continue to practice social-distancing and mask-wearing to get the virus under control."""
JoeBiden,"b""Congratulations to NASA and SpaceX on today's launch. Its a testament to the power of science and what we can accomplish by harnessing our innovation, ingenuity, and determination. I join all Americans and the people of Japan in wishing the astronauts Godspeed on their journey."""
JoeBiden,"b'To the millions of Hindus, Jains, Sikhs, and Buddhists celebrating the Festival of Lights, DrBiden and I send our best wishes for a HappyDiwali. May your new year be filled with hope, happiness, and prosperity. Sal Mubarak.'"
JoeBiden,"b'I am the president-elect, but will not be president until next year. COVID-19 does not respect dates on the calendar, it is accelerating right now. Urgent action is needed today, now, by the current administration.'"
JoeBiden,"b'I am alarmed by the surge in reported COVID-19 infections, hospitalizations, and fatalities. This crisis demands a robust and immediate federal response which has been woefully lacking.'"
JoeBiden,"b'As the remnants of Tropical Storm Eta continue to impact the east coast, I encourage everyone in its path to heed the warnings of emergency responders and local officials. Jill and I send our prayers to those facing yet another storm.'"
JoeBiden,"b'Today marks five years since the horrific ISIS terrorist attacks in Paris  an assault not just on the people of France but against our common humanity.\n\nAs president, I will work to protect Americans and our allies, countering terrorism and extremist violence in all forms.'"
JoeBiden,"b'I extend my deep condolences to the loved ones of the peacekeepers, including 6 American service members, who died on Tiran Island, and wish a speedy recovery to the surviving American. I join all Americans in honoring their sacrifice, as I keep their loved ones in my prayers.'"
JoeBiden,"b'Because of the Affordable Care Act:\n\n- People with pre-existing conditions are protected\n- More than 20 million Americans gained coverage\n- Nearly 12 million seniors have had their prescription drug costs reduced\n\nNow more than ever, we have to protect and build on it. '"
JoeBiden,"b'Ron Klains deep, varied experience and capacity to work with people all across the political spectrum is precisely what I need in a White House chief of staff as we confront this moment of crisis and bring our country together again. '"
JoeBiden,"b'This Veterans Day, I feel the full weight of the honor and the responsibility that has been entrusted to me by the American people as the next president, and I vow to honor our countrys sacred obligation. '"
JoeBiden,"b'Today, we honor the service of those who have worn the uniform of the Armed Forces of the United States. \n\nTo our proud veteransI will be a commander in chief who respects your sacrifice, understands your service, and will never betray the values you fought so bravely to defend.'"
JoeBiden,b'We are going to build a health care system that puts you and your family first  and that every American can be proud of.'
JoeBiden,"b'If youre sick, if youre struggling, if youre worried about how youre going to get through the day  we will not abandon you.\n\nWe will not leave you to face these challenges alone. '"
JoeBiden,"b'When Im speaking to foreign leaders, Im telling them: America is going to be back. Were going to be back in the game.'"
JoeBiden,"b'Come January, we will work quickly with Congress to dramatically ramp up health care protections, get America to universal coverage, and lower health care costs.'"
JoeBiden,b'Tune in as my campaign provides a post-election legal briefing. '
JoeBiden,"b'Beginning on January 20th, Vice President-elect Harris and I are going to do everything in our power to ease the burden of health care on you and your families.'"
JoeBiden,"b'Today, the Trump Administration is in court, attempting to eliminate the Affordable Care Act. Tune in as I discuss how my administration will expand access to quality, affordable health care. '"
JoeBiden,"b'.KamalaHarris and I arent wasting any time. Were ready to get COVID-19 under control so that we can reopen our businesses and schools safely, resume our lives, and put this pandemic behind us. '"
JoeBiden,"b""I won't be president until January 20th, but my message today to everyone is this: wear a mask."""
JoeBiden,b'The bottom line: I will spare no effort to turn this pandemic around.'
JoeBiden,"b'The challenge before us right now is still immense and growing, and so is the need for bold action to fight this pandemic.'"
JoeBiden,"b'My COVID-19 Transition Advisory Board will advise on detailed plans built on a bedrock of science, and that keep compassion, empathy, and care for every American at its core.'"
JoeBiden,"b'Today, I have named a COVID-19 Transition Advisory Board, comprised of distinguished public health experts, to help our transition team translate the Biden-Harris COVID-19 plan into a blueprint we can put into place as soon as KamalaHarris and I are sworn into office.'"
JoeBiden,"b""I spent the morning with the co-chairs of my COVID-19 Council discussing the status of this pandemic and how we move forward. Tune in as I provide an update on how we're going to beat this virus. """
JoeBiden,b'A nation united.\n\nA nation strengthened.\n\nA nation healed.\n\nThe United States of America.'
JoeBiden,"b'With full hearts and steady hands, with faith in America and in each other, with a love of country  and a thirst for justice  let us be the nation that we know we can be.'"
JoeBiden,"b'Tonight, the whole world is watching America. I believe at our best America is a beacon for the globe.\n\nAnd we lead not by the example of our power, but by the power of our example.'"
JoeBiden,"b'Especially for those moments when this campaign was at its lowest  the African American community stood up again for me. They always have my back, and Ill have yours.'"
JoeBiden,b'I believe that this is part of the mandate from the American people. They want us to cooperate.\n\nThats the choice Ill make. And I call on the Congress  Democrats and Republicans alike  to make that choice with me.'
